epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5307,4.63597,7.44008,0.65781,5.77834,2.55531,0,0,0,0,0,0,0,0,3.11178,4.9466,0.63459,5.00031,1.3489,0.0856,0.0016,0.0016
2,39.5445,2.21795,3.5916,0.56184,4.97981,1.17753,0,0,0,0,0,0,0,0,2.04655,3.33394,0.50331,inf,1.08332,0.0702891,0.00328911,0.00328911
3,56.5142,1.87773,2.14965,0.45634,4.508,1.04187,0,0,0,0,0,0,0,0,1.65317,2.33638,0.40637,inf,0.92347,0.054967,0.004967,0.004967
4,70.7276,1.8607,1.56839,0.3841,3.65236,1.04996,0.04221,0.04219,0.02819,0.01404,0.04527,0.04428,0.02972,0.02417,1.89264,1.3476,0.33496,inf,0.97236,0.0396337,0.00663367,0.00663367
5,82.976,1.80445,1.33732,0.32288,2.58967,1.05129,0.05897,0.85547,0.19228,0.09854,0.05965,0.86341,0.19663,0.15482,1.81141,1.02384,0.27841,2.72232,0.9865,0.0242891,0.00828912,0.00828912
6,94.8345,1.75957,1.14785,0.28204,2.081,1.05445,0.2043,0.62823,0.34499,0.16155,0.20778,0.64515,0.35524,0.25115,1.95235,1.07161,0.2154,2.22697,1.01932,0.009835,0.009835,0.009835
7,104.046,1.68163,1.02404,0.25125,1.7183,1.02172,0.17886,0.58156,0.20613,0.10557,0.17814,0.57947,0.20619,0.1534,1.60277,0.95713,0.1767,2.75263,0.96863,0.009802,0.009802,0.009802
8,112.937,1.5786,0.92673,0.23014,1.55373,1.00173,0.43023,0.74362,0.54966,0.33013,0.42973,0.74446,0.54997,0.45013,1.38111,0.72032,0.14381,1.85857,0.89078,0.009769,0.009769,0.009769
9,122.682,1.51611,0.81129,0.20319,1.39503,0.98298,0.41071,0.80739,0.52416,0.31011,0.41004,0.80539,0.52252,0.36196,1.39247,0.89976,0.11312,1.80365,0.90144,0.009736,0.009736,0.009736
10,134.544,1.42364,0.74867,0.18944,1.29568,0.96726,0.56468,0.84875,0.78992,0.46012,0.56136,0.84499,0.78418,0.58326,1.44977,0.80996,0.09543,1.41979,0.89487,0.009703,0.009703,0.009703
